DateTime,AddedIPs,RemovedIPs
1437305270,46,46
1437391629,49,49
1437478042,48,48
1437564431,49,49
1437660830,49,49
1437734724,48,48
1437821120,49,49
1437908067,46,46
1437997541,48,48
1438083923,48,48
1438170315,48,48
1438256717,46,46
1438349790,49,49
1438427905,50,50
1438513757,48,48
1438599606,48,48
1438686012,47,47
1438772066,49,49
1438948580,50,50
1439030729,47,47
1439118552,42,42
1439204052,47,47
1439292443,49,49
1439378835,49,49
1439465233,47,47
1439551635,45,45
1439638033,47,47
1439724979,47,47
1439810827,46,46
1439897232,49,49
1440419779,47,47
1440506176,46,46
1440592571,44,44
1440675926,48,48
1440762329,49,49
1440848717,44,44
1440934826,48,48
1441023527,48,48
1441110017,48,48
1441196311,47,47
1441282717,48,48
1441370719,48,48
1441457661,46,46
1441543519,45,45
1441632452,49,49
1441718356,48,48
1441804155,47,47
1441890015,48,48
1441976419,45,45
1442064983,46,46
1442151829,47,47
1442237793,43,43
1442324712,47,47
1442411123,47,47
1442543235,48,48
1442580316,47,47
1442667258,46,46
1442753702,47,47
1442842581,46,46
1442928989,46,46
1443015380,43,43
1443101782,49,49
1443188214,46,46
1443274627,46,46
1443361001,44,44
1443447407,45,45
1443533251,47,47
1443619651,47,47
1443706582,45,45
1443792982,46,46
1443879378,38,38
1443966368,43,43
1444052739,42,42
1444139462,45,45
1444225604,48,48
1444311992,46,46
1444398329,45,45
1444485257,45,45
1444571134,43,43
1444655368,46,46
1444741764,45,45
1444828167,46,46
1444914567,47,47
1445000957,47,47
1445087364,47,47
1445173259,46,46
1445261886,44,44
1445346046,48,48
1445432051,47,47
1445537618,43,43
1445607937,48,48
1445694345,46,46
1445779116,44,44
1445866584,45,45
1445952983,49,49
1446037334,49,49
1446127788,47,47
1446213264,47,47
1446300394,46,46
1446383380,42,42
1446472457,45,45
1446559769,49,49
1446644177,47,47
1446731661,45,45
1446818074,47,47
1447455249,48,48
1447533374,44,44
1447619796,46,46
1447706207,43,43
1447794036,39,39
1447879010,45,45
1447965414,45,45
1448051813,48,48
1448136563,48,48
1448222971,44,44
1448312498,44,44
1448403058,47,47
1448487455,47,47
1448579438,46,46
1448658032,48,48
1448748672,46,46
1448833586,46,46
1448916355,47,47
1449001648,46,46
1449090027,45,45
1449175536,46,46
1449264495,46,46
1449347229,44,44
1449434203,47,47
1449521675,49,49
1449606997,50,50
1449692335,45,45
1449780332,47,47
1449866724,47,47
1449952058,43,43
1450039553,44,44
1450126833,47,47
1450218030,50,50
1450300164,50,50
1450384046,46,46
1450469619,46,46
1450559377,43,43
1450644405,46,46
1450736920,41,41
1450817169,43,43
1450901373,48,48
1450987774,43,43
1451082004,45,45
1451164213,46,46
1451247557,43,43
1451342265,47,47
1451421933,44,44
1451509232,44,44
1451595621,47,47
1451682023,43,43
1451768964,46,46
1451854837,44,44
1451941227,47,47
1452026727,45,45
1452113190,46,46
1452200969,49,49
1452286825,49,49
1452373226,49,49
1452459632,49,49
1452546561,49,49
1452632054,48,48
1452718858,49,49
1452803243,43,43
1452897439,47,47
1452977681,48,48
1453063352,50,50
1453151535,50,50
1453237697,48,48
1453320967,47,47
1453409767,50,50
1453497384,50,50
1453582094,48,48
1453667072,47,47
1453755377,47,47
1453839860,50,50
